V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
A1BG-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,0,1,0,0,0,0,0,0,0,43,127,0,37,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
A2M-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,0,0,0,0,845,0,0,10,0,1,0,1428,0,0,10,0,0,0,5115,2327,1,0,0,21,1523
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,99,21,24,0,1,0,2,10,37,119,72,0,100,115,114,481,0,0,3,80,1655,1,0,62,0,6,471,1,0,0
A4GNT,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,3702,517,2319,0,306,0,157,237,0,0,239,883,2388,530,0,215,1327,306,0,7,998,158,0,8086,0,206,0,0,1127,0
AACS,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,3,0,0,0,6,0,39,0,0,6,680
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,120,0,423,0,0,450,0,0,0,0
AAED1,0,0,0,0,13,194,0,0,0,0,3,0,857,0,0,74,4,0,525,0,0,0,0,0,0,0,272,0,83,0
AAGAB,0,5,2172,996,734,0,0,50,0,4840,38,0,3,0,25,51,152,396,0,71,93,293,5,2479,0,160,0,612,1,3243
AAK1,0,563,0,76,0,14,282,8,17,2998,1192,0,1874,80,488,13,9794,6,0,44,72,337,296,8,24,418,290,0,3327,720
AAMDC,0,0,548,554,22,0,0,0,0,0,0,235,0,110,0,0,0,175,0,10,0,0,0,13,0,0,0,438,0,0
AAMP,5814,767,393,8290,1028,0,2113,753,13,23708,2635,810,2909,291,2346,1245,13975,2765,67,142,10637,1171,4403,3421,2480,1294,894,21,8317,1675
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
AAR2,0,941,1161,2395,1800,0,424,1,0,5249,775,749,4082,183,0,499,689,0,0,325,3676,537,6911,45,227,50,31,0,8404,1091
AARD,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AARS,0,423,30,282,473,1394,236,1690,1246,5100,830,15,3152,990,10,0,10497,834,0,6,3822,1580,2188,785,2070,1222,761,19,1789,3127
AARS2,0,349,7,1214,61,0,0,0,272,0,118,2,0,580,432,217,0,0,490,296,0,52,0,0,0,0,0,0,0,36
AARSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,6,0,0,0,0,0,0,0,0
AASDH,0,10,35,1145,0,2,0,1,0,0,798,0,1721,0,0,0,0,595,400,76,3535,119,0,183,0,57,0,0,96,156
AASDHPPT,0,0,7695,1116,171,1031,512,1534,174,636,2278,318,191,0,0,36,1351,2460,589,0,2547,995,10,0,0,876,3024,1385,1403,1393
AASS,2559,1,2194,116,764,0,89,1957,18,1546,724,855,3451,1,1035,1239,2815,0,100,67,0,600,634,9,167,234,0,0,2028,1142
AATF,1990,584,5037,2891,0,1214,719,1,1056,3133,2395,1226,268,0,0,18,21459,52,0,28,8852,389,3668,5312,1609,2644,3213,0,4353,2378
AATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATK-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,0,0,0,0,0,0,0,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0
ABCA1,0,746,0,0,495,1,0,384,391,0,0,6369,939,5409,1786,243,1,124,0,0,0,0,0,0,0,0,0,0,0,0
ABCA10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCA11P,0,0,143,109,294,0,3,0,0,860,350,0,72,0,0,0,0,0,0,0,75,0,0,1729,24,14,0,0,6,0
ABCA12,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
